Ligand_ID,Mean_Affinity,Time
DB12411,-10.16,35.44118428
DB03571,-9.9,33.49966192
DB07525,-9.7,15.95200014
DB13050,-9.67,18.68965793
DB12983,-9.64,19.31936026
DB08993,-9.32,54.53628135
DB15688,-9.17,48.17660236
DB12424,-9.12,35.63483787
DB17052,-9.03,25.24786687
DB04343,-9.02,11.56378651
DB18632,-9.01,30.64126039
DB01126,-8.99,9.780766726
DB12817,-8.98,27.23287797
DB13014,-8.97,30.42018986
DB11913,-8.86,31.17356873
DB15328,-8.86,27.80942392
DB03917,-8.84,9.359217882
DB02112,-8.84,10.77240634
DB11652,-8.82,36.0191443
DB11986,-8.8,38.02929115
DB18657,-8.8,25.15031981
DB04016,-8.8,49.5860455
DB14703,-8.77,31.73434734
DB11896,-8.76,45.4348619
DB04703,-8.74,49.28060842
DB17163,-8.74,35.00886559
DB01698,-8.7,19.03369427
DB18081,-8.68,21.6389482
DB13005,-8.67,45.08082914
DB00923,-8.66,13.19233346
DB12895,-8.66,61.48201776
DB11799,-8.63,24.12009597
DB11611,-8.63,32.93532205
DB03389,-8.6,9.8170259
DB14946,-8.6,40.94735813
DB06955,-8.59,27.83333802
DB16347,-8.59,44.74349904
DB00696,-8.58,13.12922359
DB15630,-8.58,33.87151146
DB08683,-8.57,7.6131742
DB11995,-8.57,31.24117637
DB15367,-8.56,42.25127029
DB08040,-8.56,25.96834207
DB06638,-8.56,35.72437119
DB15396,-8.54,40.01233721
DB00320,-8.54,13.84759903
DB16098,-8.52,39.75497198
DB15637,-8.52,24.31042314
DB18245,-8.51,49.19786119
DB03231,-8.5,39.49608088
DB00762,-8.49,10.70737886
DB14860,-8.49,40.1156981
DB18060,-8.47,35.02613997
DB18152,-8.46,31.43543339
DB15023,-8.46,32.07302308
DB03583,-8.43,26.12135315
DB12892,-8.43,49.01157641
DB14883,-8.43,27.07476282
DB17131,-8.43,24.84508467
DB01897,-8.42,9.734331131
DB11847,-8.42,44.90359735
DB15193,-8.41,35.0054338
DB14785,-8.4,50.20883799
DB12323,-8.39,44.60948658
DB15282,-8.39,19.78960609
DB17269,-8.39,20.53833485
DB02258,-8.39,8.237163544
DB07041,-8.38,30.74603319
DB17570,-8.38,40.52932739
DB02827,-8.37,20.31942821
DB04868,-8.37,33.70261216
DB13640,-8.36,16.61203551
DB06997,-8.36,29.36443853
DB18251,-8.36,49.93209267
DB11904,-8.36,40.61216116
DB06350,-8.36,33.42136145
DB18063,-8.34,29.43537688
DB12134,-8.34,35.78034782
DB12457,-8.34,45.07481527
DB03591,-8.34,42.9923737
DB16120,-8.34,30.98331785
DB16035,-8.33,31.75761461
DB13556,-8.33,22.32920361
DB12381,-8.33,41.79789114
DB13307,-8.33,35.5850749
DB01988,-8.33,9.187763691
