Ligand_ID,Mean_Affinity,Time
DB18632,-10.09,23.04196978
DB12983,-10.08,16.4881742
DB13050,-10.07,25.4268446
DB12411,-9.96,22.83300257
DB08683,-9.9,16.74655151
DB15688,-9.86,37.42810726
DB12424,-9.81,30.09017277
DB18657,-9.77,24.52642798
DB01126,-9.74,45.31136298
DB02112,-9.74,24.17687249
DB17163,-9.74,24.83624029
DB04016,-9.67,31.05628824
DB03276,-9.64,70.91143823
DB04238,-9.63,28.58618379
DB15637,-9.6,33.64725971
DB16185,-9.59,22.17779827
DB17166,-9.58,20.41498852
DB08358,-9.58,22.16237664
DB00320,-9.58,28.44602036
DB01897,-9.57,24.85669947
DB11691,-9.53,37.56312323
DB15291,-9.44,31.14754963
DB00872,-9.43,56.03431201
DB08036,-9.43,15.42925334
DB13014,-9.41,17.72665167
DB17143,-9.4,17.76788592
DB12427,-9.4,26.18847489
DB04960,-9.4,25.9870491
DB11652,-9.38,31.19522691
DB12903,-9.37,20.92053056
DB09280,-9.34,29.63010192
DB06595,-9.34,28.9824121
DB08546,-9.34,24.89238644
DB08827,-9.32,43.83839679
DB00504,-9.31,31.9638145
DB06638,-9.29,34.17538142
DB05835,-9.29,23.82143784
DB14773,-9.29,32.699512
DB14894,-9.28,34.61498404
DB12465,-9.27,21.87397909
DB00762,-9.27,57.7243576
DB12318,-9.27,26.10093093
DB14989,-9.26,34.66333199
DB08073,-9.24,21.09293413
DB03583,-9.24,39.25417566
DB13345,-9.24,26.76483274
DB07994,-9.23,19.4646821
DB00696,-9.23,66.09866047
DB15399,-9.22,21.7027595
DB15034,-9.21,40.57534528
DB13005,-9.2,25.5792768
DB08091,-9.2,24.26468825
DB08349,-9.19,24.53166389
DB14860,-9.19,35.5722003
DB07978,-9.19,20.93816304
DB18373,-9.18,27.59606743
DB01988,-9.18,22.07888222
DB16047,-9.18,27.47462726
DB01879,-9.17,35.59891129
DB17197,-9.14,22.11782002
DB16098,-9.14,33.52109265
DB14946,-9.14,30.03683901
DB18019,-9.14,26.15950131
DB11986,-9.13,38.79154038
DB17141,-9.13,21.04335237
DB04764,-9.13,23.6303556
DB16162,-9.12,26.61708546
DB15775,-9.12,20.7512219
DB16879,-9.12,18.27552223
DB11896,-9.11,24.16319752
DB12694,-9.11,24.76136589
DB04125,-9.11,27.8809793
DB12260,-9.11,22.22120357
DB12886,-9.1,22.37349629
DB06240,-9.09,32.42499423
DB15308,-9.08,27.33498764
DB17052,-9.08,19.60602021
DB00734,-9.08,52.7829802
DB04868,-9.07,27.0367403
DB08450,-9.07,17.12953925
DB16124,-9.06,21.51228046
DB17754,-9.06,25.74060774
DB11791,-9.06,26.00280595
DB07975,-9.06,21.41175914
DB11611,-9.04,39.91828203
DB01640,-9.04,21.99605227
DB08912,-9.03,34.32094169
DB12854,-9.03,25.95392323
DB11913,-9.03,30.11204576
DB16037,-9.02,39.0551846
DB05713,-9.01,21.79725647
DB12128,-9.01,30.32302618
DB02081,-9.01,21.49591017
DB01698,-9,35.50792074
DB08272,-9,19.07252526
DB16244,-9,24.0553534
DB08400,-9,23.80336308
DB02651,-9,76.70725656
DB16758,-8.99,23.77395701
DB15085,-8.99,31.26436853
DB15254,-8.99,31.79176092
DB18245,-8.99,27.63810205
DB14883,-8.98,29.36075997
DB01876,-8.98,21.64960051
DB05263,-8.98,19.41285253
DB12817,-8.98,20.18482232
DB11799,-8.98,27.87840462
DB06856,-8.97,32.68481445
DB15583,-8.97,26.1433208
DB14064,-8.97,23.92197514
DB08006,-8.96,18.76450634
DB18060,-8.96,22.51318097
DB03231,-8.96,65.56179333
DB06896,-8.94,30.9733758
DB04011,-8.93,19.89918756
DB16262,-8.93,24.73933339
DB07422,-8.93,31.14626908
DB12457,-8.93,29.26562262
DB12796,-8.93,21.75321364
DB05984,-8.92,25.69341469
DB16883,-8.92,18.7760427
DB11830,-8.92,24.7123301
DB15305,-8.92,25.10835338
DB11925,-8.92,22.92007136
DB11852,-8.92,35.27166939
DB07326,-8.91,28.1422689
DB15328,-8.91,35.10432625
DB01831,-8.91,35.31475544
DB17578,-8.91,21.22358036
DB07993,-8.9,16.84064627
DB07369,-8.9,29.31822824
DB18034,-8.9,19.25679231
DB03213,-8.9,49.74937773
DB09199,-8.89,29.44331551
DB13484,-8.89,14.42293262
DB15029,-8.89,28.60586929
DB11772,-8.89,35.06582332
DB06717,-8.89,44.07839203
DB06435,-8.88,36.17651558
DB11894,-8.88,33.29329681
DB15414,-8.88,29.43162966
DB12134,-8.88,27.64606476
DB02323,-8.88,41.15355945
DB06888,-8.88,29.09260654
DB12655,-8.88,19.69500566
DB12523,-8.87,22.92003298
DB11369,-8.87,34.41767454
DB13950,-8.86,26.78522515
DB06401,-8.86,36.04440928
DB04609,-8.86,37.11037779
DB18041,-8.86,19.42560673
DB07226,-8.84,25.67637181
DB06844,-8.84,30.6183033
DB16844,-8.84,21.25438714
DB17079,-8.83,20.89992237
DB18052,-8.83,23.14634228
DB16035,-8.83,30.69135737
DB16296,-8.83,23.39886832
DB04727,-8.82,25.16830349
DB02258,-8.81,20.29533434
DB16191,-8.81,20.08036923
DB06455,-8.81,31.82116461
