Ligand_ID,Mean_Affinity,Time
DB12983,-10.97,13.44609928
DB13014,-10.71,19.06374955
DB11896,-10.2,20.29703665
DB12411,-10.1,23.59157586
DB11369,-9.88,17.97761202
DB04016,-9.88,25.84446526
DB02112,-9.78,18.24361157
DB08006,-9.69,10.25089526
DB07435,-9.69,15.23046517
DB07142,-9.64,13.8389678
DB06435,-9.59,15.09470057
DB08683,-9.54,10.60073519
DB01948,-9.53,20.86830544
DB17052,-9.52,15.86661696
DB12368,-9.46,18.40534735
DB18632,-9.43,15.07206464
DB12457,-9.43,26.24336362
DB04285,-9.41,25.45854187
DB17197,-9.41,16.61866736
DB18400,-9.39,16.34562278
DB06595,-9.34,14.49525595
DB11822,-9.34,18.88229895
DB13345,-9.33,20.03869176
DB04960,-9.33,18.08182025
DB02010,-9.32,15.07153773
DB15688,-9.31,22.04012775
DB02741,-9.29,13.44722795
DB00320,-9.29,25.9253819
DB16037,-9.27,21.52794027
DB17247,-9.24,15.49817538
DB18034,-9.23,12.08737397
DB02258,-9.23,18.38720131
DB17141,-9.23,18.23424554
DB09291,-9.21,21.35933256
DB04696,-9.2,15.39734364
DB06469,-9.19,13.27106142
DB16843,-9.18,19.13795376
DB15023,-9.17,16.2222383
DB16124,-9.17,18.42345905
DB18081,-9.17,17.81181931
DB12756,-9.14,21.43629241
DB18373,-9.13,20.94921374
DB12886,-9.13,14.39678717
DB00696,-9.13,22.23420143
DB12580,-9.12,26.29930735
DB11986,-9.12,22.22347879
DB01126,-9.12,24.35225439
DB17121,-9.11,18.25758004
DB05129,-9.11,32.31727242
DB13950,-9.09,18.49516439
DB15034,-9.09,28.35749555
DB08975,-9.09,9.713707209
DB00210,-9.08,14.54901218
DB12381,-9.07,20.7470572
DB05678,-9.06,14.19283628
DB14883,-9.06,19.95936203
DB03466,-9.04,13.35031939
DB11864,-9.03,13.79813361
DB15291,-9.02,28.1723175
DB18657,-9.02,23.22743821
DB11913,-9.02,14.46067834
DB06638,-9.01,19.73755813
DB17163,-9.01,18.30446792
DB02152,-9.01,15.59545207
DB16296,-8.99,22.7435441
DB03895,-8.98,10.27042866
DB07189,-8.98,15.79564857
DB01933,-8.97,17.33360362
DB14870,-8.97,18.67142892
DB14676,-8.96,17.00318003
DB01761,-8.96,19.5065012
DB01897,-8.94,20.49203205
DB04238,-8.94,25.93478298
DB16936,-8.94,23.57829094
DB15011,-8.94,23.58889914
DB12424,-8.93,27.32226276
DB16886,-8.93,13.61629987
DB00307,-8.93,8.69905901
DB15367,-8.93,21.44220948
DB14878,-8.93,12.95027208
DB15637,-8.92,17.74158645
DB06393,-8.92,15.76937461
DB17166,-8.92,14.62817883
DB11652,-8.91,18.83946133
DB00673,-8.9,22.24874854
DB15046,-8.9,20.35746169
DB11925,-8.9,13.209409
DB11614,-8.9,11.55826974
DB15435,-8.89,19.48867345
DB07270,-8.89,16.34486365
DB18051,-8.88,18.73606515
DB06809,-8.88,17.00154281
DB13399,-8.88,10.3015976
DB05454,-8.88,12.28332734
DB07479,-8.87,8.685088396
DB11399,-8.87,24.53703046
DB13050,-8.87,29.33931398
DB06555,-8.87,17.49473548
DB11363,-8.86,15.93136692
DB17018,-8.86,13.21874166
DB11791,-8.86,17.70612884
DB04724,-8.84,21.21904588
DB11852,-8.84,16.9523716
DB11651,-8.84,18.9614861
DB15197,-8.84,14.21928096
DB14773,-8.83,18.66862726
DB03311,-8.82,25.03033876
DB04727,-8.82,15.04951048
DB18306,-8.82,18.96100378
DB15416,-8.82,24.9182992
DB01419,-8.82,21.17607665
DB11833,-8.81,17.44935846
DB07307,-8.81,15.091043
DB04685,-8.8,18.88302827
DB14859,-8.8,22.76642537
DB04888,-8.8,14.24156547
DB08036,-8.79,10.04489422
DB03276,-8.79,29.81084871
DB18033,-8.79,14.22343159
DB17557,-8.78,14.81966281
DB12887,-8.78,21.68618369
DB13791,-8.78,16.0385623
DB15085,-8.78,18.48418593
DB11611,-8.77,23.64917135
DB08448,-8.77,13.37806392
DB12044,-8.77,20.17921996
DB11851,-8.76,25.01105213
DB13095,-8.76,22.56828976
DB16347,-8.74,28.13914371
DB16098,-8.73,22.22633672
DB00872,-8.73,22.92822027
DB00762,-8.72,20.3196969
DB04144,-8.72,17.73393726
DB16185,-8.71,17.30899763
DB08204,-8.71,19.255198
DB02705,-8.71,15.53304386
DB15245,-8.7,17.1350913
DB07874,-8.69,11.65735078
DB14995,-8.69,16.6760869
DB17506,-8.69,15.78217578
DB14792,-8.69,18.38144064
DB11414,-8.68,22.62451172
DB04125,-8.68,25.22932363
DB04764,-8.68,15.69766474
DB14822,-8.68,20.46311665
DB15328,-8.68,19.01225853
DB03057,-8.67,7.554463863
DB17584,-8.66,27.3010025
DB11799,-8.66,14.65240121
DB09074,-8.66,16.07255793
DB18012,-8.66,28.41301417
DB18297,-8.66,26.61244917
DB16637,-8.66,22.5830102
DB04011,-8.66,10.73931074
DB17757,-8.64,21.62999296
DB16162,-8.64,28.0143435
DB12874,-8.64,26.7241292
DB01879,-8.64,24.90068889
DB11431,-8.63,14.9767096
DB08731,-8.63,10.76471734
DB05713,-8.63,17.12585998
DB06634,-8.63,23.79451728
DB05984,-8.63,13.68031693
DB16253,-8.63,15.44928241
DB14894,-8.63,17.19311357
DB02269,-8.63,26.28630972
DB16883,-8.62,17.17909527
DB02360,-8.61,14.00334525
DB08901,-8.6,21.36815286
DB18251,-8.6,19.93730545
DB06521,-8.6,17.66833067
DB09143,-8.6,17.60778713
DB18220,-8.59,12.58640313
DB06202,-8.59,18.16954708
DB02555,-8.59,23.3480649
DB06925,-8.59,14.59450245
DB04289,-8.59,14.74527168
DB02473,-8.59,11.21965456
DB13109,-8.58,21.85659909
DB17129,-8.58,10.27166724
DB15192,-8.58,13.99157691
DB04868,-8.58,23.68117905
DB07796,-8.58,12.28585887
DB07994,-8.58,17.63810635
DB00941,-8.57,21.64161086
DB02551,-8.57,10.06953335
DB16846,-8.57,19.43115711
DB18060,-8.57,18.89236021
DB12571,-8.57,20.28832722
DB12467,-8.57,11.24539661
DB07842,-8.57,12.43896437
DB08010,-8.57,15.16460276
DB05835,-8.57,15.11773849
DB13019,-8.57,20.01700974
