Ligand_ID,Mean_Affinity,Time
DB13050,-11.33,20.21647501
DB00320,-11.14,34.41901851
DB12411,-11.12,17.72443199
DB11986,-11.06,25.31772876
DB11896,-11,21.22169828
DB15688,-10.88,25.9742105
DB02112,-10.67,20.05687213
DB18060,-10.63,20.15595508
DB03966,-10.58,28.91284513
DB18373,-10.56,21.63338447
DB04016,-10.54,26.12242556
DB14946,-10.52,24.52807641
DB14785,-10.51,23.85310197
DB15023,-10.49,23.61939383
DB18251,-10.48,23.83405805
DB12427,-10.47,24.05143762
DB18081,-10.43,18.61961484
DB12424,-10.39,23.63841867
DB18012,-10.39,21.57618618
DB02329,-10.39,17.10109663
DB12817,-10.38,17.10003209
DB11913,-10.38,20.76504111
DB18632,-10.37,21.00583434
DB16098,-10.36,21.5802815
DB15328,-10.34,22.69083524
DB17197,-10.33,22.0222199
DB03632,-10.32,26.59861588
DB13005,-10.32,24.58009458
DB12323,-10.31,21.82258821
DB00696,-10.31,35.58418655
DB08995,-10.28,32.12751651
DB12381,-10.27,22.17469907
DB17163,-10.26,20.33949423
DB06295,-10.24,35.19418478
DB11275,-10.23,22.41975856
DB04158,-10.23,33.42691803
DB17052,-10.22,18.71226954
DB16843,-10.21,20.60442114
DB16037,-10.21,25.36472344
DB02524,-10.2,31.44617462
DB05075,-10.19,22.58159971
DB06809,-10.18,18.94740653
DB16162,-10.18,22.74413824
DB12669,-10.17,21.85144091
DB04463,-10.17,17.64353156
DB05129,-10.16,25.37824273
DB15034,-10.16,26.25927091
DB06595,-10.14,23.86418557
DB16347,-10.14,26.1167593
DB04703,-10.12,26.46484733
DB03638,-10.1,27.46376872
DB12228,-10.08,23.13682818
DB04350,-10.08,24.86671495
DB12457,-10.06,24.0527513
DB17570,-10.06,20.57405639
DB18052,-10.06,20.58335328
DB14870,-10.04,19.93031263
DB03276,-10.01,22.45571184
DB05553,-10,22.32311535
DB13307,-10,18.90161085
DB12410,-9.98,25.25616121
DB04727,-9.97,20.72627163
DB18306,-9.97,22.93086505
DB01329,-9.97,36.98234081
DB11847,-9.96,23.57356739
DB15367,-9.96,21.21428156
DB12892,-9.96,23.67785716
DB04477,-9.96,25.56722808
DB15637,-9.96,19.58210397
DB04785,-9.96,25.20896029
DB13345,-9.94,24.69614148
DB14773,-9.92,21.05491066
DB04868,-9.92,22.13452911
DB06638,-9.9,29.09747481
DB00762,-9.9,27.34444618
DB13764,-9.89,31.79043722
DB13014,-9.89,17.79742217
DB13095,-9.88,25.26240396
DB15193,-9.88,21.72678041
DB18077,-9.88,29.08320594
DB11995,-9.87,23.36691165
DB17149,-9.86,22.79234242
DB17709,-9.86,23.86535478
DB16657,-9.86,23.12640429
DB14989,-9.86,22.58395624
DB18657,-9.84,26.64484811
DB18115,-9.84,22.61695361
DB12983,-9.83,14.17137384
DB18297,-9.83,24.44023776
DB14883,-9.83,19.62678933
DB11652,-9.82,19.13523936
DB18088,-9.81,21.86183238
DB01092,-9.81,28.65749812
DB04011,-9.81,17.42211938
DB18083,-9.79,19.58483815
DB01897,-9.79,19.51246715
DB05984,-9.78,21.51271677
DB08546,-9.78,20.52708149
DB15399,-9.78,18.23247957
DB02498,-9.77,34.21701646
DB11772,-9.77,24.98991919
DB13490,-9.77,22.62490582
DB17198,-9.74,22.70201278
DB15382,-9.74,21.82457805
DB03331,-9.74,21.96468306
DB12267,-9.74,23.22516346
DB11611,-9.73,22.65081358
DB11799,-9.73,20.50781393
DB12655,-9.73,16.44402218
DB12318,-9.72,23.90337181
DB12369,-9.72,19.11579037
DB15396,-9.72,21.77131081
DB14879,-9.72,31.48624921
DB16233,-9.72,24.47833037
DB02483,-9.71,36.17151213
DB07159,-9.71,18.58760357
DB12756,-9.71,19.65899444
DB16846,-9.7,21.30493236
DB06486,-9.7,24.61167979
DB05038,-9.7,33.39291596
DB01051,-9.7,33.14610553
DB12874,-9.68,22.00410151
DB01988,-9.68,17.13328648
DB17191,-9.66,19.77906704
DB16030,-9.66,17.1655786
DB03020,-9.66,33.36284494
DB11851,-9.66,21.81335187
DB00430,-9.66,34.450315
DB12903,-9.64,20.09583259
DB17171,-9.64,26.26465654
DB15257,-9.64,27.72119665
DB16296,-9.64,20.69960904
DB12297,-9.63,26.22139454
DB03962,-9.63,37.54145932
DB14723,-9.63,20.06133318
DB12690,-9.63,17.46464086
DB09298,-9.62,17.26380253
DB14860,-9.61,24.67057371
DB11904,-9.61,22.58560252
DB03141,-9.61,26.13459444
DB16844,-9.61,20.12729502
DB11925,-9.61,16.57878017
DB04739,-9.61,20.01844096
DB17757,-9.6,26.26740885
DB11891,-9.6,23.20806265
DB17131,-9.6,24.34459496
DB11691,-9.59,25.90648246
DB02269,-9.59,21.86942148
DB18299,-9.58,20.76542616
DB12729,-9.58,22.32053804
DB01177,-9.58,25.09876919
DB03186,-9.58,32.22938585
DB11616,-9.57,25.61864495
DB12703,-9.57,22.95181203
DB15442,-9.57,17.80589724
DB06666,-9.56,23.51141191
DB18400,-9.56,20.3583076
DB11796,-9.54,22.75819159
DB04071,-9.54,32.173877
DB16185,-9.54,21.36617208
DB18689,-9.54,29.2288096
DB08683,-9.54,14.79844546
DB12799,-9.53,20.09337807
DB01792,-9.53,28.48560548
DB15246,-9.53,22.27279782
DB09280,-9.52,20.63809276
DB12939,-9.52,28.47267842
DB14703,-9.52,22.49976325
DB17143,-9.52,16.17370343
DB06589,-9.52,24.42964554
DB06178,-9.51,24.11805868
DB15305,-9.51,17.2598269
DB15085,-9.51,19.77892971
DB17141,-9.51,18.87675762
DB03044,-9.51,23.0170114
DB06448,-9.5,24.07520247
DB18034,-9.5,18.64834881
DB00549,-9.5,27.03661489
DB01698,-9.5,26.72518945
DB00444,-9.49,29.66829419
DB15308,-9.49,17.45962191
DB06350,-9.48,25.56240892
DB04099,-9.47,32.4350028
DB02717,-9.47,37.91875386
DB03583,-9.47,18.20557857
DB12742,-9.47,19.25476193
DB13061,-9.47,20.24069357
DB12523,-9.47,19.7800405
DB13029,-9.47,17.98290157
DB16253,-9.46,19.0274334
DB14128,-9.46,32.79890299
DB13109,-9.46,19.48628926
DB12996,-9.44,27.05872178
DB14850,-9.44,25.47659445
DB15291,-9.44,22.85557222
DB08164,-9.44,21.57914305
DB07789,-9.44,20.76583481
DB02651,-9.43,28.3282218
DB12843,-9.43,17.9649024
DB11829,-9.43,17.27690244
DB17166,-9.43,18.55738997
DB16120,-9.43,19.57522297
DB01167,-9.43,29.0089252
DB18033,-9.42,16.06211352
DB02547,-9.42,31.33643413
DB07605,-9.42,20.30831313
DB03363,-9.42,31.14613438
DB18057,-9.42,20.10489154
DB17030,-9.41,22.94368267
DB12134,-9.41,19.37510324
DB18025,-9.41,22.44570708
DB01753,-9.4,31.6122942
DB15435,-9.4,21.40032125
DB15169,-9.4,24.53607488
DB17549,-9.4,24.7029891
DB15943,-9.4,24.75589752
DB06263,-9.39,20.3939395
DB06240,-9.39,24.13702416
DB12052,-9.39,25.06380534
DB12222,-9.39,18.55582786
DB01251,-9.39,28.59051347
DB01761,-9.39,20.63198543
DB02732,-9.39,38.5565002
DB06634,-9.39,29.37751293
DB06515,-9.39,22.06934071
DB01763,-9.39,34.77624154
DB09050,-9.38,34.18099761
DB18245,-9.38,25.62296319
DB16191,-9.38,17.92550468
DB08911,-9.37,28.91927838
DB00773,-9.37,24.91237164
DB12165,-9.37,25.09595203
DB16256,-9.37,23.53267717
