,PDB ID,Drug IDs
1,1EVU,DB11300; DB11311; DB11571; DB13151
2,1NSI,DB05383; DB08814
3,1DJL,DB09092
7,1AB2,DB00619; DB01254; DB04868; DB06616; DB08896; DB08901; DB12323; DB12597
8,1ALS,DB00043; DB00895
9,1CFG,DB00055; DB00100; DB11300; DB11312; DB11571; DB11572; DB12872; DB13133; DB13151; DB13152; DB13933; DB14700
11,1EG0,DB00256; DB00453; DB00595; DB01017; DB12329
12,1OZ5,DB00353; DB00477; DB00508; DB00623; DB00679; DB00800; DB00850; DB00875; DB00988; DB01038; DB01186; DB01235; DB01239; DB01608; DB01614; DB01621; DB01623; DB01624
13,4BSJ,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB11679; DB11800
15,1Q7D,DB00048; DB12872; DB13133
18,1FLT,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB10770; DB11679; DB11800
20,1GAG,DB00030; DB00046; DB00047; DB00071; DB01306; DB01307; DB01309; DB09129; DB09456; DB09564; DB11564; DB11568
22,1C1Y,DB00398; DB08896; DB08912; DB11718
23,1CZS,DB00055; DB11300; DB11312; DB11571; DB11572; DB13149; DB13151
24,2AJP,DB00147; DB00165
26,2CSA,DB00185; DB00332; DB00383; DB00387; DB00496; DB00505; DB00517; DB00572; DB00725; DB00747; DB00767; DB00986; DB01019; DB01036; DB01062; DB01085; DB01231; DB01409; DB01591; DB01625; DB04843; DB06702; DB06709; DB06787; DB08897; DB09076; DB09089; DB09167; DB09262; DB09300; DB11181; DB12278; DB13581; DB13720
27,2VGB,DB16236
29,1A2C,DB00001; DB00006; DB00278; DB04898; DB05777; DB06695; DB09109; DB09228; DB11166; DB12598; DB12831; DB13151; DB14738
31,1E51,DB00855
34,1GKC,DB00786
36,1LVQ,DB00470; DB00486; DB06155; DB09061; DB09288; DB11755; DB14009; DB14011
37,1ZV0,DB00177; DB00275; DB00678; DB00796; DB00876; DB00966; DB01029; DB01342; DB01347; DB01349; DB08822; DB09279; DB13919
39,1S8B,DB00073; DB00078; DB00081; DB06650; DB08935; DB09336; DB11850; DB11988; DB15434; DB16371; DB16672; DB16684
40,4D1N,DB01221; DB09241
41,1I0Z,DB09118
42,2F2S,DB00795
43,1LE6,DB13893; DB13894
44,1I7G,DB00636; DB01039; DB01241; DB01393; DB03756; DB08915; DB09422; DB13873
45,1A22,DB00052; DB00082; DB09098; DB14960; DB16220
46,1BZY,DB01033
47,1H9U,DB00210; DB00307; DB00459; DB00523; DB00755; DB00799; DB00926; DB03756
48,4V06,DB12095
49,3B6R,DB00148; DB13191
52,2FFX,DB00893; DB09147; DB09517; DB13995
53,1BYW,DB00204; DB00252; DB00308; DB00489; DB01100; DB01182; DB01218; DB04855
56,2KI9,DB00470; DB00486; DB14011
60,1T78,DB00208; DB00758; DB01240; DB06209; DB06441; DB08816
62,1BPX,DB00987
63,1F0X,DB00756
64,2IAG,DB00812; DB01240
67,1IN9,DB00360; DB12095
69,1A52,DB00255; DB00269; DB00286; DB00304; DB00367; DB00481; DB00539; DB00603; DB00655; DB00675; DB00783; DB00823; DB00882; DB00890; DB00947; DB00957; DB00977; DB01108; DB01185; DB01196; DB01357; DB01406; DB04573; DB04574; DB04575; DB04938; DB06202; DB06401; DB09070; DB09317; DB09318; DB09369; DB13952; DB13953; DB13954; DB13955; DB13956; DB14641
70,1M5G,DB00560; DB00595; DB01017; DB01301
72,1A00,DB00893; DB06154; DB09112; DB09147; DB13257; DB13995; DB14975
73,1E3G,DB00499; DB00621; DB00624; DB00665; DB00858; DB00984; DB01128; DB01185; DB01395; DB01406; DB01420; DB01481; DB01541; DB01564; DB04839; DB06133; DB06412; DB06710; DB06718; DB08804; DB08899; DB09123; DB11425; DB11901; DB12499; DB12941; DB13943; DB13944; DB13946; DB14639
74,1CW3,DB00536; DB00822
75,1LUT,DB00014; DB00032; DB00044; DB00097; DB06719; DB09126
80,3QNZ,DB00361; DB00541; DB00570; DB01179; DB01394; DB06137; DB11641; DB11731
81,1EXA,DB00210; DB00459; DB00523; DB00755; DB00799; DB00926; DB05467; DB12808
84,1RJB,DB00398; DB01268; DB06595; DB11697; DB12141; DB12500; DB12874
87,1OLY,DB00152
88,3ERY,DB09092
89,1BJ1,DB00112; DB01270; DB04895; DB06779; DB08885; DB10772; DB14864; DB15303
90,1YTV,DB00035; DB00067; DB00093; DB00872; DB02638; DB14642
91,1QK1,DB00148; DB13191
92,2LSQ,DB00187; DB00195; DB00221; DB00264; DB00335; DB00368; DB00373; DB00489; DB00521; DB00571; DB00598; DB00612; DB00668; DB00841; DB00866; DB00960; DB01064; DB01102; DB01136; DB01193; DB01203; DB01210; DB01214; DB01295; DB01297; DB01359; DB01363; DB01364; DB01580; DB04846; DB04861; DB06262; DB08807; DB08808; DB09204; DB09351; DB11124; DB11278; DB13781
96,1RKP,DB00203; DB00277; DB00820; DB00862; DB00975; DB06237; DB06267
98,2HGS,DB06151
99,5UH5,DB01201
100,2M3O,DB00384; DB00594
103,1A27,DB01536
104,2KBI,DB00192; DB00252; DB00280; DB00281; DB00379; DB00473; DB00527; DB00532; DB00680; DB00740; DB00750; DB00754; DB00908; DB00909; DB01056; DB01182; DB01195; DB01228; DB01320; DB01346; DB01426; DB01429; DB04855; DB06217
105,1X9N,DB01280
107,1GQ5,DB00102; DB00398; DB00619; DB01254; DB01268; DB06589; DB06595; DB08896; DB09079; DB11800; DB14840
108,1HRA,DB00210; DB00459; DB00523; DB00755; DB00799; DB00926; DB04942
110,4TWK,DB00204; DB04855
111,1B2I,DB00009; DB00013; DB00015; DB00029; DB00031; DB00086; DB00302; DB00513; DB12831
112,1FM6,DB00159; DB00197; DB00244; DB00412; DB00966; DB01014; DB01132; DB01393; DB03756; DB05490; DB08915; DB09198; DB09201; DB11133
113,1C5M,DB00025; DB00100; DB00569; DB01109; DB01225; DB06228; DB06605; DB09075; DB09109; DB09258; DB11166; DB12364; DB12598; DB13149; DB13150; DB13151; DB13152; DB13192; DB13884; DB13923; DB13933; DB13998; DB13999; DB14738
114,4MQE,DB00659; DB00837; DB01956; DB08891; DB08892
116,1O86,DB00178; DB00492; DB00519; DB00542; DB00584; DB00691; DB00722; DB00790; DB00881; DB01180; DB01197; DB01340; DB01348; DB09477; DB13166; DB15565
117,1HSO,DB01213
118,2MKV,DB00606
123,1A7C,DB00013
125,1G5M,DB01229; DB01367; DB05103; DB11581; DB12340
127,2ABV,DB00179; DB00244; DB00711; DB00744; DB00795; DB00939; DB01014
129,1M73,DB00242
132,4CFE,DB00331
133,3IYD,DB00615; DB01045; DB01220; DB11753
134,1V0X,DB00154; DB00159; DB00244; DB00316; DB00328; DB00461; DB00465; DB00469; DB00482; DB00500; DB00533; DB00554; DB00573; DB00580; DB00586; DB00605; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01397; DB01399; DB01600; DB01628; DB04552; DB04743; DB06725; DB06736; DB08439; DB08910; DB09212; DB09213; DB09215; DB09216; DB09288; DB11079; DB11201; DB11323; DB13167; DB13346; DB13783; DB13961
135,1M9J,DB00360
136,1DL9,DB00616; DB00886; DB09292; DB11623
137,1AZM,DB00310; DB00311; DB00703; DB00819; DB00869; DB00880; DB01031; DB01144; DB01325; DB09472
138,1BBS,DB00212; DB09026
139,1A81,DB00075; DB06606; DB06607; DB15434; DB16672
140,1M5G,DB00452; DB00479; DB00560; DB00798; DB00919; DB00955; DB00994; DB01082; DB01172; DB04729; DB06696
141,1ANT,DB00407; DB00569; DB01109; DB01225; DB06271; DB06754; DB06779; DB06822; DB08813
143,1HLL,DB00368; DB00370; DB00449; DB00484; DB00575; DB00629; DB00633; DB00668; DB00852; DB00865; DB00925; DB00935; DB00964; DB00968; DB01018; DB01363; DB01392; DB01472; DB01577; DB01608; DB04855; DB04948; DB06262; DB06694; DB06711; DB09242; DB11124; DB11278
145,4JQI,DB00035; DB00067; DB00872; DB02638; DB06212; DB14642
147,1GER,DB00336
148,1ALQ,DB09324
153,1BSX,DB00279; DB00451; DB00509; DB01583
154,1F67,DB09568
156,12CA,DB00273; DB00311; DB00703; DB00819; DB00869; DB00880; DB01031; DB01144; DB01194; DB01325; DB09472
157,1HVY,DB00293; DB00322; DB00432; DB00544; DB00563; DB00642; DB01101; DB09256; DB09327
158,2WGH,DB00242; DB00441; DB00631; DB01005; DB01073; DB01280
160,1XU7,DB04652; DB13751
161,1BOZ,DB00205; DB00563; DB00642; DB01131; DB01157; DB06813
162,1BJ4,DB01055
163,1BVR,DB00609; DB00951
164,1BF9,DB00100; DB13151; DB13152; DB13933
165,1A5K,DB00551; DB05265
166,1BM7,DB11644; DB16309
168,1YYP,DB00369; DB00529
169,2C17,DB01026; DB05667; DB05812
170,1BP3,DB00052; DB16220
172,3HI7,DB05383
173,1OEA,DB00201; DB00640; DB01223
174,3BXK,DB01244
175,1AUI,DB11693
176,2KUP,DB08865; DB09063; DB11363; DB12130; DB12141; DB12267
177,1CFH,DB00025; DB09109; DB13150; DB13192; DB13923; DB13998; DB13999; DB14738
178,2HQW,DB01173; DB08838; DB08954
181,1VR2,DB00398; DB01268; DB05578; DB06589; DB06595; DB06626; DB08875; DB08896; DB09078; DB09079; DB11679; DB11800; DB14840; DB16265
182,1NB0,DB00140
184,1F0Y,DB09568
186,1AUT,DB00464; DB13149
188,1D3G,DB01097
189,2KS9,DB00673; DB09048; DB09291; DB14019
190,1N6U,DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105; DB06152
191,1XUN,DB00032; DB00066; DB00094; DB00097; DB04786; DB09066
193,1KIL,DB00083; DB16820
194,4IB4,DB00247; DB00508; DB00805; DB01242; DB09185
195,1B0F,DB00058
198,1FHA,DB00893; DB13995
199,1DEH,DB01213
200,1D6G,DB00403; DB09142
202,1D7K,DB06243
204,2LE3,DB01074
205,4Z9M,DB00148; DB13191
207,1BY4,DB00210; DB00307; DB00459; DB00523; DB00926; DB03756
208,5CFB,DB01956
211,1S11,DB00949; DB01520; DB01956; DB06077; DB08954
212,1AJI,DB04841
214,1OZC,DB00295; DB00318; DB00327; DB00333; DB00497; DB00611; DB00647; DB00704; DB00813; DB00844; DB00956; DB01183; DB01439; DB01497; DB01535; DB01548; DB01571; DB06230; DB06738; DB09272; DB11130; DB11691
215,1AIN,DB00591; DB00741; DB14538; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544
216,1I10,DB09118
217,1B41,DB00382; DB00483; DB00545; DB00674; DB00677; DB00733; DB00805; DB00843; DB00944; DB00981; DB00989; DB01010; DB01122; DB01400; DB08996
218,1H10,DB12218
220,1T0J,DB00270; DB00308; DB00343; DB00381; DB00393; DB00401; DB00568; DB00622; DB00661; DB01023; DB01054; DB01115; DB01373; DB01388; DB04855; DB06712; DB09227; DB09229; DB12278
222,1MOT,DB00228; DB00753; DB00898; DB01028; DB01189; DB01236
223,1LRC,DB00235; DB00261; DB00277; DB01166; DB01223; DB01303; DB01427; DB04880
224,1DPK,DB00054; DB00775
